Instance,Policy,Seed,Status,Nnodes,Fair Nodes,Gap,Integral
rmatr100-p5,tbrant,4,infeasible,1293,1293,0,4889.813984
rmatr200-p5,tbrant,0,timelimit,721,721,0.253684349,82127.37605
rmatr200-p5,tbrant,1,timelimit,420,420,0.29872963,87700.54511
rmatr200-p5,tbrant,2,timelimit,281,281,0.294742981,89655.2699
rmatr200-p5,tbrant,3,timelimit,302,302,0.301329389,92286.40805
rmatr200-p5,tbrant,4,timelimit,438,438,0.30485775,91913.83439
roi5alpha10n8,tbrant,0,timelimit,1738,1738,0.308634128,98429.09788
roi5alpha10n8,tbrant,1,timelimit,1176,1176,0.32594539,102649.5552
roi5alpha10n8,tbrant,2,timelimit,643,643,0.3436855,108408.9995
roi5alpha10n8,tbrant,3,timelimit,713,713,0.356651381,109738.5315
roi5alpha10n8,tbrant,4,timelimit,687,687,0.359555098,111465.836
sp150x300d,tbrant,0,infeasible,444,444,0,25.04627413
sp150x300d,tbrant,1,infeasible,2922,2922,0,136.1091014
sp150x300d,tbrant,2,infeasible,9447,9447,0,434.3453126
sp150x300d,tbrant,3,infeasible,3179,3179,0,91.57817498
sp150x300d,tbrant,4,infeasible,724,724,0,23.74410975
stein27,tbrant,0,infeasible,2713,2713,0,461.7054398
stein27,tbrant,1,infeasible,2839,2839,0,425.1559428
stein27,tbrant,2,infeasible,2621,2621,0,385.3130609
stein27,tbrant,3,infeasible,2571,2571,0,345.6177747
stein27,tbrant,4,infeasible,2797,2797,0,307.0332033
supportcase7,tbrant,0,infeasible,141,141,0,4059.269511
supportcase7,tbrant,1,infeasible,173,173,0,4918.669415
supportcase7,tbrant,2,infeasible,75,75,0,4131.637127
supportcase7,tbrant,3,infeasible,109,109,0,3411.352997
supportcase7,tbrant,4,infeasible,107,107,0,2950.287986
swath1,tbrant,0,infeasible,1400,1400,0,404.7153857
swath1,tbrant,1,infeasible,1485,1485,0,374.4072284
swath1,tbrant,2,infeasible,1397,1397,0,295.866553
swath1,tbrant,3,infeasible,1427,1427,0,243.4473833
swath1,tbrant,4,infeasible,1672,1672,0,287.7635974
vpm2,tbrant,0,infeasible,399,399,0,27.18070542
vpm2,tbrant,1,infeasible,275,275,0,22.99631091
vpm2,tbrant,2,infeasible,259,259,0,17.68134942
vpm2,tbrant,3,infeasible,266,268,0,17.96805141
vpm2,tbrant,4,infeasible,311,311,0,18.54074444
30n20b8,tree,0,infeasible,17,17,0,8526.237346
30n20b8,tree,1,infeasible,52,52,0,16361.74558
30n20b8,tree,2,infeasible,19,19,0,24169.82421
30n20b8,tree,3,infeasible,22,22,0,28211.57035
30n20b8,tree,4,infeasible,24,24,0,22128.69237
air04,tree,0,infeasible,277,277,0,286.3139612
air04,tree,1,infeasible,133,133,0,1787.30512
air04,tree,2,infeasible,151,151,0,3386.081604
air04,tree,3,infeasible,139,139,0,574.4642183
air04,tree,4,infeasible,157,157,0,4850.922892
air05,tree,0,infeasible,353,353,0,141.4476376
air05,tree,1,infeasible,329,329,0,212.4517916
air05,tree,2,infeasible,211,211,0,284.6919246
air05,tree,3,infeasible,125,125,0,372.8986213
air05,tree,4,infeasible,265,265,0,270.6038378
cod105,tree,0,timelimit,511,511,0.523809524,124243.8016
cod105,tree,1,timelimit,211,211,0.523809524,124490.8846
cod105,tree,2,timelimit,181,181,0.523809524,125088.8025
cod105,tree,3,timelimit,193,193,0.523809524,126084.5643
cod105,tree,4,timelimit,374,374,0.523809524,125319.7686
comp21-2idx,tree,0,timelimit,1224,1224,0.783154275,162055.9361
comp21-2idx,tree,1,timelimit,643,643,0.707719134,161007.3247
comp21-2idx,tree,2,timelimit,747,747,0.779973959,168121.2671
comp21-2idx,tree,3,timelimit,456,456,0.671635539,162768.7518
comp21-2idx,tree,4,timelimit,709,709,0.799762112,170033.3905
dcmulti,tree,0,infeasible,37,69,0,5.515295883
dcmulti,tree,1,infeasible,37,65,0,4.119000238
dcmulti,tree,2,infeasible,33,71,0,4.714814197
dcmulti,tree,3,infeasible,27,57,0,2.975267059
dcmulti,tree,4,infeasible,23,61,0,3.068297281
eil33-2,tree,0,infeasible,8703,8849,0,1274.841968
eil33-2,tree,1,infeasible,8977,9071,0,1009.069461
eil33-2,tree,2,infeasible,11087,11153,0,813.3993022
eil33-2,tree,3,infeasible,10227,10237,0,531.9098761
eil33-2,tree,4,infeasible,7841,8003,0,603.1640726
istanbul-no-cutoff,tree,0,infeasible,351,351,0,3993.881358
istanbul-no-cutoff,tree,1,infeasible,511,511,0,2911.333198
istanbul-no-cutoff,tree,2,infeasible,299,301,0,2440.61382
istanbul-no-cutoff,tree,3,infeasible,277,277,0,2076.145549
istanbul-no-cutoff,tree,4,infeasible,261,263,0,2390.643854
l152lav,tree,0,infeasible,217,217,0,31.63425242
l152lav,tree,1,infeasible,219,219,0,31.34472014
l152lav,tree,2,infeasible,283,283,0,25.17485149
l152lav,tree,3,infeasible,299,299,0,18.24381056
l152lav,tree,4,infeasible,289,289,0,17.72028715
